City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
202,barranca,-10.75,-77.7667,74.84,81,98,7.07,PE,2023-04-17 03:58:11
203,dhidhdhoo,6.8833,73.1,83.28,72,35,6.35,MV,2023-04-17 03:58:11
204,carballo,43.213,-8.691,58.42,75,100,3.49,ES,2023-04-17 03:58:12
205,khani,41.9563,42.9566,49.57,72,67,4.52,GE,2023-04-17 03:58:12
206,lac du bonnet,50.2536,-96.0612,28.92,89,53,4.94,CA,2023-04-17 03:58:12
207,zhigansk,66.7697,123.3711,29.64,87,82,2.84,RU,2023-04-17 03:58:12
208,uromi,6.7,6.3333,73.76,86,100,3.78,NG,2023-04-17 03:58:13
209,palmer,42.1584,-72.3287,60.62,90,100,4.61,US,2023-04-17 03:57:51
210,sao sebastiao do cai,-29.5867,-51.3756,72.18,97,86,0.67,BR,2023-04-17 03:58:13
211,alice springs,-23.7,133.8833,65.75,42,0,13.8,AU,2023-04-17 03:58:14
212,joshimath,30.5667,79.5667,70.09,38,5,3.38,IN,2023-04-17 03:58:14
213,nantucket,41.2835,-70.0995,51.94,98,100,3.44,US,2023-04-17 03:58:14
214,necochea,-38.5473,-58.7368,48.09,78,54,10.0,AR,2023-04-17 03:58:15
215,rorvik,64.8621,11.2373,37.51,87,98,2.3,NO,2023-04-17 03:58:15
216,port-gentil,-0.7193,8.7815,78.57,83,100,12.8,GA,2023-04-17 03:58:15
217,manaure,11.7751,-72.4445,79.18,75,98,11.54,CO,2023-04-17 03:58:15
218,kropotkin,45.4375,40.5756,41.65,42,98,21.34,RU,2023-04-17 03:58:16
219,ormara,25.2088,64.6357,78.78,64,5,3.42,PK,2023-04-17 03:58:16
220,mustafakemalpasa,40.0353,28.4117,57.56,76,100,2.86,TR,2023-04-17 03:58:17
221,maiduguri,11.8464,13.1603,79.54,38,95,7.85,NG,2023-04-17 03:58:17
222,saltillo,25.4167,-101.0,55.29,77,52,4.5,MX,2023-04-17 03:58:17
223,oksfjord,70.2396,22.3479,39.38,99,100,5.35,NO,2023-04-17 03:58:17
224,anloga,5.7947,0.8973,82.13,78,100,9.17,GH,2023-04-17 03:58:18
225,ushtobe,45.2514,77.9838,53.26,78,100,24.74,KZ,2023-04-17 03:58:18
226,lagoa,39.05,-27.9833,57.72,73,94,19.73,PT,2023-04-17 03:58:18
227,guanica,17.9716,-66.908,74.05,78,2,5.23,PR,2023-04-17 03:58:18
228,airai,-8.9266,125.4092,70.52,79,99,1.92,TL,2023-04-17 03:58:19
229,dzhankoy,45.7167,34.4,45.09,70,61,17.2,UA,2023-04-17 03:58:19
230,mga,59.75,31.0667,39.83,75,89,2.53,RU,2023-04-17 03:58:20
231,ahuimanu,21.4447,-157.8378,80.31,78,75,10.36,US,2023-04-17 03:58:21
232,hokitika,-42.7167,170.9667,62.28,70,82,3.31,NZ,2023-04-17 03:58:21
233,balikpapan,-1.2675,116.8289,88.79,66,20,4.61,ID,2023-04-17 03:58:21
234,kurchum,48.5722,83.6542,47.39,50,100,20.0,KZ,2023-04-17 03:58:22
235,ahipara,-35.1667,173.1667,68.63,70,9,14.14,NZ,2023-04-17 03:58:22
236,muzaffarabad,34.37,73.4711,74.79,48,100,6.53,PK,2023-04-17 03:58:22
237,hambantota,6.1241,81.1185,84.54,84,0,2.3,LK,2023-04-17 03:58:22
238,coihaique,-45.5752,-72.0662,39.15,87,0,5.75,CL,2023-04-17 03:58:22
239,ende,-8.8432,121.6623,84.34,75,85,3.89,ID,2023-04-17 03:58:23
240,salinopolis,-0.6136,-47.3561,78.64,86,100,3.76,BR,2023-04-17 03:53:25
241,saldanha,-33.0117,17.9442,51.85,85,1,10.27,ZA,2023-04-17 03:58:23
242,te anau,-45.4167,167.7167,60.94,62,100,4.83,NZ,2023-04-17 03:58:24
243,ancud,-41.8697,-73.8203,46.6,84,83,3.89,CL,2023-04-17 03:58:24
244,bireun,5.203,96.7009,87.48,64,48,5.48,ID,2023-04-17 03:58:24
245,kaitangata,-46.2817,169.8464,61.93,69,98,3.09,NZ,2023-04-17 03:58:25
246,faya,18.3851,42.4509,55.92,48,0,2.39,SA,2023-04-17 03:58:25
247,idenao,4.2475,9.0047,77.97,77,100,1.16,CM,2023-04-17 03:58:25
248,mecca,21.4267,39.8261,79.66,64,1,2.3,SA,2023-04-17 03:58:25
249,ganzhou,28.8184,115.4327,85.64,51,4,14.52,CN,2023-04-17 03:58:26
250,porto de moz,-1.7483,-52.2383,73.47,99,100,2.82,BR,2023-04-17 03:58:26
251,taiyuan,37.8694,112.5603,69.66,32,0,4.47,CN,2023-04-17 03:58:27
252,whitehorse,60.7161,-135.0538,38.01,74,75,2.3,CA,2023-04-17 03:58:27
253,mabai,23.0128,104.4508,76.32,50,56,8.41,CN,2023-04-17 03:58:27
254,caravelas,-17.7125,-39.2481,75.81,83,78,6.42,BR,2023-04-17 03:58:28
